,comment_id,comment_url,commenter_id,commenter_url,commenter_name,commenter_meta,comment_text,comment_time,comment_image,comment_reactors,comment_reactions,comment_reaction_count,replies
910,3729105873985120,https://facebook.com/3729105873985120,100014250398445,https://facebook.com/jessie.tran203?eav=Afb_53y53VSWwSv0yzAy9xq1HRCIltR7w_9kMkdogubKN6j9scuonWxvSQhUUDSGiE0&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Jessie Tran,Người xem,Ken Nguyen,2023-09-23,0,[],0,0.0,[]
911,886390292820848,https://facebook.com/886390292820848,100029588945473,https://facebook.com/profile.php?id=100029588945473&eav=AfZsiWuL7WeGM_Iq2jxnrvZ3p7q5-nEBQ_WZZo2WkplKjY93qq-ooGUPMo9KONabHmw&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Nguyễn Khang,Người xem,Lai Hoàng Bảo Ngọc,2023-09-23,https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An-0mG6nK_Uk-eBw_Z5hXaQPl2Il-GAtgNisMF_CPi6qvu85Lx2-5PalMJvS7fIbuodHct0V3tJrvSxzau9mOcNxqVhoiy8lxxQ9edz-6r6_o9YroQ.png?ccb=10-5&oh=00_AfCR2S_WgIt_oExPnR_CJ26YUnpZO0LKlZ3S3ZXyxR6oEw&oe=6586D944&_nc_sid=7da55a,"[{'name': 'Lai Hoàng Bảo Ngọc', 'link': 'https://facebook.com/lhbn.ney?eav=AfZAJdLAQqewq2VbcSotdGG89U3YX5ma9fc4IJyyntwZCjyBP5WZJIXTRCG1HUO2ltI&fref=pb&paipv=0', 'type': 'sad'}]",{'sad': 1},1.0,"[{'comment_id': '863215774895552', 'comment_url': 'https://facebook.com/863215774895552', 'commenter_id': '100041802888893', 'commenter_url': 'https://facebook.com/lhbn.ney?eav=AfYA5wsBy3pwZ3YXhqogiV7So0OzSLR-8T_8GSfp86icS6GVqSCgOXKg1nLycD7mfu4&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Lai Hoàng Bảo Ngọc', 'commenter_meta': None, 'comment_text': 'Nguyễn Khang\n2 thầy r đó', 'comment_time': datetime.datetime(2023, 9, 23, 0, 0), 'comment_image': 'https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An-0mG6nK_Uk-eBw_Z5hXaQPl2Il-GAtgNisMF_CPi6qvu85Lx2-5PalMJvS7fIbuodHct0V3tJrvSxzau9mOcNxqVhoiy8lxxQ9edz-6r6_o9YroQ.png?ccb=10-5&oh=00_AfCR2S_WgIt_oExPnR_CJ26YUnpZO0LKlZ3S3ZXyxR6oEw&oe=6586D944&_nc_sid=7da55a', 'comment_reactors': [{'name': 'Nguyễn Khang', 'link': 'https://facebook.com/profile.php?id=100029588945473&eav=AfZvUfJaOzbcidyN1V6Gu1h81bRhx7Us3DJAbs8na3qCFUTqu0py1FstmLxIVr5isrM&fref=pb&paipv=0', 'type': 'sad'}], 'comment_reactions': {'sad': 1}, 'comment_reaction_count': 1}]"
912,157285267442037,https://facebook.com/157285267442037,100002734633855,https://facebook.com/BetChuprong?eav=AfZUZWUpFTAeOqbsDTEO6KigRi9rwyFx8mqEldhw5oJ3qOnhQL_6FtUJB3lDsouvS64&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0,Nguyễn Hướng,Người xem,Rip Sir Albus,2023-09-23,0,[],0,0.0,[]
913,1046377653033886,https://facebook.com/1046377653033886,100054188575192,https://facebook.com/nothing.410?eav=AfbwZI33swKb_WfKbKy6cBO-JQAhXjTGCP5WAr-vWtjJvbseMaU_Zs2Jy_nnFzTB5-o&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Trần Nhật Huy,Người xem,ôi thầy albus dumpbruhdore🗿,2023-09-23,0,[],0,0.0,[]
914,312338918219370,https://facebook.com/312338918219370,100053846970261,https://facebook.com/profile.php?id=100053846970261&eav=AfZXDChN_qyqh5HC5Ze32n0UMom6ynsyFtFgjMUvouFf28fmxfNx8r9IyKA_XBSkj08&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Đức Tuấn,Người xem,Thii Hoàngg,2023-09-23,0,[],0,0.0,[]
915,2956586487804834,https://facebook.com/2956586487804834,100000709671996,https://facebook.com/uwellnaxbarkillayyamthea?eav=AfYYiSWswGrHxD1mWCThVjj-FuqYizmg71pS9pX0jZMq8JMTcLaqvYvZdaHE08cM890&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Sifhaa Adziima Al-azharii,Người xem,Innalillahi wainna ilaihi roji'un 😢😢😢 terimakasih sudah menghiasi masa kecil kami 🫶🏼🫶🏼🫶🏼,2023-09-23,0,[],0,0.0,[]
916,326789999835854,https://facebook.com/326789999835854,100063568455542,https://facebook.com/duykhanh.vo.18488?eav=AfYr3J735Aavsu77zVOtFHjCM9y7FmGLgqJKm5Hi-7FN1dxfqsef813BOdtLRkfFAR4&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0,Ty Thầy Chùa,Người xem,Giáo sư đã về vs vua đờ mót,2023-09-23,0,[],0,0.0,[]
917,1387379865495020,https://facebook.com/1387379865495020,100033074683916,https://facebook.com/profile.php?id=100033074683916&eav=AfZVHUDP1YYXvQVpCgSSz7UEV03pv_K4qTGOZn8B_Y7wCp0Ax4MoGt1yCzkTHu2rwek&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Bảo Phạm,Người xem,Thủy Tiên,2023-09-23,https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An-0mG6nK_Uk-eBw_Z5hXaQPl2Il-GAtgNisMF_CPi6qvu85Lx2-5PalMJvS7fIbuodHct0V3tJrvSxzau9mOcNxqVhoiy8lxxQ9edz-6r6_o9YroQ.png?ccb=10-5&oh=00_AfCR2S_WgIt_oExPnR_CJ26YUnpZO0LKlZ3S3ZXyxR6oEw&oe=6586D944&_nc_sid=7da55a,"[{'name': 'Thủy Tiên', 'link': 'https://facebook.com/tiinie.05?eav=AfYr1eFkGsd5QNqoAQ85BTkZJg0u8v4ITHtgMUt5AQtjhbQyLRBYUhIM4VD2VofYQwI&fref=pb&paipv=0', 'type': 'sad'}]",{'sad': 1},1.0,[]
918,3564696787185539,https://facebook.com/3564696787185539,100005555409381,https://facebook.com/siuly.hien?eav=AfZBzlPwr3wjL84wZnGTgnQqSDEd3MBkq69P71P1BsjxlN4hKgGFC8ijxXZf1XpXhrM&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Hiền Lý Kim,Người xem,Thanh Huyen 😩😩,2023-09-23,https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An-0mG6nK_Uk-eBw_Z5hXaQPl2Il-GAtgNisMF_CPi6qvu85Lx2-5PalMJvS7fIbuodHct0V3tJrvSxzau9mOcNxqVhoiy8lxxQ9edz-6r6_o9YroQ.png?ccb=10-5&oh=00_AfCR2S_WgIt_oExPnR_CJ26YUnpZO0LKlZ3S3ZXyxR6oEw&oe=6586D944&_nc_sid=7da55a,"[{'name': 'Thanh Huyen', 'link': 'https://facebook.com/profile.php?id=100026685252847&eav=AfZgU1P_lIdHl5TODaezISlz-kzqYs2O23rEjLLHouvNk2Cstui7PReu0ho2IWZFkFI&fref=pb&paipv=0', 'type': 'sad'}]",{'sad': 1},1.0,"[{'comment_id': '624860703136666', 'comment_url': 'https://facebook.com/624860703136666', 'commenter_id': '100026685252847', 'commenter_url': 'https://facebook.com/profile.php?id=100026685252847&eav=AfaPq7GqwuwupsjK9iH-oGtJL-5deXYprx21GxhbJHw35TRCNd9lQK2IMMDhcOL9Cdw&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Thanh Huyen', 'commenter_meta': 'Fan cứng', 'comment_text': 'Hiền Lý Kim rip 🕊️', 'comment_time': datetime.datetime(2023, 9, 23, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
919,1058790845154847,https://facebook.com/1058790845154847,100004113967325,https://facebook.com/trangnguyen0117?eav=AfZTyJ0wxsOou5s7BkqoNoTCydHdISxilUDHHmuAzyoxqc402mdQ7N2fEm8xj9q3Ghw&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Trang Nguyen,Người xem,Lele Kwon 😢,2023-09-23,https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An-0mG6nK_Uk-eBw_Z5hXaQPl2Il-GAtgNisMF_CPi6qvu85Lx2-5PalMJvS7fIbuodHct0V3tJrvSxzau9mOcNxqVhoiy8lxxQ9edz-6r6_o9YroQ.png?ccb=10-5&oh=00_AfCR2S_WgIt_oExPnR_CJ26YUnpZO0LKlZ3S3ZXyxR6oEw&oe=6586D944&_nc_sid=7da55a,"[{'name': 'Lele Kwon', 'link': 'https://facebook.com/lele.kwon.3?eav=AfbZbkfRxdEQkQCwJ0Dlu6_2aD67iPq4F_tdjWKJ95uwJQq-URXVZX5X8nLNcSk-cgM&fref=pb&paipv=0', 'type': 'sad'}]",{'sad': 1},1.0,"[{'comment_id': '1233941430633920', 'comment_url': 'https://facebook.com/1233941430633920', 'commenter_id': '100003344948522', 'commenter_url': 'https://facebook.com/lele.kwon.3?eav=AfY9E9LXNVRUpulK_PkTbbPDz8gkIe6dy4EffsWgI2ee5IiS0R9j6V77ju1JHYtNKYU&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Lele Kwon', 'commenter_meta': None, 'comment_text': 'Trang Nguyen bùn', 'comment_time': datetime.datetime(2023, 9, 23, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
